Emotion,Tweet,,,,,,,,,,,,,,,,
sadness,Yudh ke asar ka dukh humare dil mein bana rehta hai jab hum jeevan ki haani aur jagahon ki tabahi ka shok manaate hain. ?? sadness LossOfJoy,,,,,,,,,,,,,,,,
anxiety,"Yudh ka kab khatam hoga, yeh chinta har samay satati rahti hai. Kab tak chalega yeh aatank? ?? anxiety EndTheConflict",,,,,,,,,,,,,,,,
anxiety,"Yudh ka astitva, anant hai. Har kadam par naye dukh aur niraasha ka samna. ?? anxiety InfiniteTurmoil NoEndInSight",,,,,,,,,,,,,,,,
shame,Yudh mein hui hinsa aur atyacharon ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. ?? shame ReflectAndChange,,,,,,,,,,,,,,,,
shame,Is yudh mein hui hinsa aur atyacharon ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. ?? shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
hopelessness,"Is yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless??????????????????????????",,,,,,,,,,,,,,,,
frustration,Yudh ki tabahi aur barbaadi ko dekhkar gussa aata hai. FrustratedHfeart EndTheChaos,,,,,,,,,,,,,,,,
disgust,Yudh mein hui kroorta se mujhe ghin aati hai. Wardisgust StopTheCarnage: ????,,,,,,,,,,,,,,,,
grief,"Apnon ko khone ka dukh sahana mushkil hai. Is yudh mein itne logon ki jaan chali gayi, yeh sochkar dukh hota hai. Wargrief LossIsDeep????",,,,,,,,,,,,,,,,
empathy,Is yudh ke peedit logon ke prati sahanubhuti rakhta hoon. empathyInAction StandWithTheAffected????????????????,,,,,,,,,,,,,,,,
resilience,"Mushkil samay mein bhi haar nahi manunga, har mushkil ko sahne ka iraada hai. resilience StayStrong",,,,,,,,,,,,,,,,
compassion,Yudh ke beech me rah kar peedit logon ki madad karna hamara insaani farz hai. compassionForAll HelpingHands,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, mujhe ummeed hai ki yeh yudh khatam hoga aur shaanti ayegi. hopeForPeace BelieveInTheFuture",,,,,,,,,,,,,,,,
fear,Is yudh mein itne saare masoomon ki jaan kyun ja rahi hai? Darr ka mahaul hai. StopTheWar PrayForPeace,,,,,,,,,,,,,,,,
anger,"Is yudh ki hinsa aur atyachar se mujhe gussa aata hai. Ladenge, haar nahin maanenge! NeverBackDown AgainstInjustice",,,,,,,,,,,,,,,,
sadness,Yudh se ghar se beghar hokar logon ka dukh dekhkar dil bahut dukhta hai. WarTfearsApart HumanityCries????????,,,,,,,,,,,,,,,,
anxiety,"Is yudh ka kab khatam hoga, yeh sochkar chinta hoti hai. AnxiousThoughts EndTheConflict??????",,,,,,,,,,,,,,,,
shame,Is yudh mein hui hinsa aur atyachar ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
guilt,Is yudh ke karan desh ke liye kuch nahi kar paane ka gunaah mujhe hamesha khaata hai. guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
hopelessness,"Is yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless?????????????????????????",,,,,,,,,,,,,,,,
frustration,Yudh ki tabahi aur barbaadi ko dekhkar gussa aata hai. FrustratedHfeart EndTheChaos????????????????,,,,,,,,,,,,,,,,
disgust,Yudh mein hui kroorta se mujhe ghin aati hai. Wardisgust StopTheCarnage: ????,,,,,,,,,,,,,,,,
grief,"Apnon ko khone ka dukh sahana mushkil hai. Is yudh mein itne logon ki jaan chali gayi, yeh sochkar dukh hota hai. Wargrief LossIsDeep??????????",,,,,,,,,,,,,,,,
empathy,Is yudh ke peedit logon ke prati sahanubhuti rakhta hoon. empathyInAction StandWithTheAffected,,,,,,,,,,,,,,,,
resilience,"Mushkil samay mein bhi haar nahi manunga, har mushkil ko sahne ka iraada hai. resilience StayStrong",,,,,,,,,,,,,,,,
compassion,Yudh ke beech me rah kar peedit logon ki madad karna hamara insaani farz hai. compassionForAll HelpingHands,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, mujhe ummeed hai ki yeh yudh khatam hoga aur shaanti ayegi. hopeForPeace BelieveInTheFuture",,,,,,,,,,,,,,,,
gratitude,Shaanti ka anand uthaate hain aur ek behtar duniya ke liye yogdan dene ka jimmedaari nibhaate hain. gratitude PeacefulWorld,,,,,,,,,,,,,,,,
fear,Yudh mein itne saare masoomon ki jaan ja rahi hai. Kyun? Darr ka mahaul hai. StopTheWar PrayForPeace,,,,,,,,,,,,,,,,
anger,"Yudh ki hinsa aur atyachar se gussa hai. Ladenge, haar nahin maanenge! NeverBackDown AgainstInjustice",,,,,,,,,,,,,,,,
sadness,Yudh se ghar se beghar hokar logon ka dukh dekhkar dil bahut dukhta hai. WarTfearsApart HumanityCries,,,,,,,,,,,,,,,,
anxiety,"Yudh ka kab khatam hoga, yeh sochkar chinta hoti hai. AnxiousThoughts EndTheConflict",,,,,,,,,,,,,,,,
shame,Yudh mein hui hinsa aur atyachar ke liye sharm aati hai. Sudharne ki zarurat hai. shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
guilt,Yudh ke karan desh ke liye kuch nahi kar paane ka gunaah hamesha khaata hai. guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless????????????????????",,,,,,,,,,,,,,,,
frustration,Yudh ki tabahi aur barbaadi ko dekhkar gussa aata hai. FrustratedHfeart EndTheChaos,,,,,,,,,,,,,,,,
disgust,Yudh mein hui kroorta se ghin aati hai. Wardisgust StopTheCarnage: ????,,,,,,,,,,,,,,,,
grief,"Apnon ko khone ka dukh sahana mushkil hai. Is yudh mein itne logon ki jaan chali gayi, yeh sochkar dukh hota hai. Wargrief LossIsDeep ??????????????????",,,,,,,,,,,,,,,,
empathy,Is yudh ke peedit logon ke prati sahanubhuti rakhta hoon. empathyInAction StandWithTheAffected??????????????????,,,,,,,,,,,,,,,,
resilience,"Mushkil samay mein bhi haar nahi manunga, har mushkil ko sahne ka iraada hai. resilience StayStrong????",,,,,,,,,,,,,,,,
compassion,Yudh ke beech me rah kar peedit logon ki madad karna hamara insaani farz hai. compassionForAll HelpingHands,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, mujhe ummeed hai ki yeh yudh khatam hoga aur shaanti ayegi. hopeForPeace BelieveInTheFuture",,,,,,,,,,,,,,,,
gratitude,Shaanti ka anand uthaate hain aur ek behtar duniya ke liye yogdan dene ka jimmedaari nibhaate hain. gratitude PeacefulWorld,,,,,,,,,,,,,,,,
fear,"Yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless",,,,,,,,,,,,,,,,
anger,"Har din, yudh ka ant door hota ja raha hai, aur iske saath hi niraasha bhi gehri ho rahi hai. DespairDeepens NoEndInSight",,,,,,,,,,,,,,,,
sadness,"Yudh ka chakra ghoomta ja raha hai, ant ka koi pata nahi. No light at the end of the tunnel. EndlessConflict hopeless",,,,,,,,,,,,,,,,
anxiety,"Yudh ka astitva, anant hai. Har kadam par naye dukh aur niraasha ka samna. InfiniteTurmoil NoEndInSight",,,,,,,,,,,,,,,,
shame,"Andhere mein, yudh ka koi ant nahi dikh raha. Har taraf sirf andhera hai. DarkHorizons hopelessReality",,,,,,,,,,,,,,,,
guilt,"Yudh ka silsila chalta hi ja raha hai, ant ka koi asha nahi hai. PerpetualChaos hopelessCycle",,,,,,,,,,,,,,,,
hopelessness,"Yudh ki haqeeqat mein, khatam hone ka koi sanket nahi hai. Strife that never seems to end. NeverEndingStrife hopelessReality???????????????",,,,,,,,,,,,,,,,
frustration,"Yudh ka samay badal raha hai, lekin uske ant ka koi ishara nahi. EternalTurbulence NoEndInSight",,,,,,,,,,,,,,,,
disgust,"Yudh ke chakkar mein, dard aur dukh ka koi ant nahi. UnendingAgony hopelessReality: ????",,,,,,,,,,,,,,,,
empathy,"Har din, yudh ke karan aur suffering ka silsila badhta hi ja raha hai. PersistingSuffering NoEndInSight",,,,,,,,,,,,,,,,
hope,"Yudh ke karan, sunsaan bhoomi ka drishya humein dikhaai deta hai. ContinuousDesolation hopelessScenario",,,,,,,,,,,,,,,,
fear,"Yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless",,,,,,,,,,,,,,,,
anger,"Har din, yudh ka ant door hota ja raha hai, aur iske saath hi niraasha bhi gehri ho rahi hai. DespairDeepens NoEndInSight",,,,,,,,,,,,,,,,
sadness,"Yudh ka chakra ghoomta ja raha hai, ant ka koi pata nahi. No light at the end of the tunnel. EndlessConflict hopeless",,,,,,,,,,,,,,,,
anxiety,"Yudh ka astitva, anant hai. Har kadam par naye dukh aur niraasha ka samna. InfiniteTurmoil NoEndInSight",,,,,,,,,,,,,,,,
shame,"Andhere mein, yudh ka koi ant nahi dikh raha. Har taraf sirf andhera hai. DarkHorizons hopelessReality",,,,,,,,,,,,,,,,
guilt,"Yudh ka silsila chalta hi ja raha hai, ant ka koi asha nahi hai. PerpetualChaos hopelessCycle",,,,,,,,,,,,,,,,
hopelessness,"Yudh ki haqeeqat mein, khatam hone ka koi sanket nahi hai. Strife that never seems to end. NeverEndingStrife hopelessReality",,,,,,,,,,,,,,,,
frustration,"Yudh ka samay badal raha hai, lekin uske ant ka koi ishara nahi. EternalTurbulence NoEndInSight",,,,,,,,,,,,,,,,
disgust,"Yudh ke chakkar mein, dard aur dukh ka koi ant nahi. UnendingAgony hopelessReality",,,,,,,,,,,,,,,,
empathy,"Har din, yudh ke karan aur suffering ka silsila badhta hi ja raha hai. PersistingSuffering NoEndInSight????????????????",,,,,,,,,,,,,,,,
hope,"Yudh ke karan, sunsaan bhoomi ka drishya humein dikhaai deta hai. ContinuousDesolation hopelessScenario",,,,,,,,,,,,,,,,
fear,"Har kona har pal yudh se bhara hai, iska ant kyun nahi aata? fearOfEndlessConflict hopelessReality",,,,,,,,,,,,,,,,
anger,"Yudh ke atyachaaron se mera khoon garam ho raha hai. Ladenge, haar nahin maanenge! NeverBackDown AgainstInjustice",,,,,,,,,,,,,,,,
sadness,"Yudh ne ghar se beghar kar diya hai, logon ko dukhi aur tuti hui zindagi mein chhod diya hai. WarTfearsApart HumanityCries",,,,,,,,,,,,,,,,
anxiety,"Yudh ka kab khatam hoga, yeh sochkar chinta hoti hai. AnxiousThoughts EndTheConflict",,,,,,,,,,,,,,,,
shame,Yudh mein hui hinsa aur atyachar ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
guilt,Yudh ke karan desh ke liye kuch nahi kar paane ka gunaah mujhe hamesha khaata hai. guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless",,,,,,,,,,,,,,,,
frustration,Yudh ki tabahi aur barbaadi ko dekhkar gussa aati hai. FrustratedHfeart EndTheChaos,,,,,,,,,,,,,,,,
disgust,Yudh mein hui kroorta se mujhe ghin aati hai. Wardisgust StopTheCarnage,,,,,,,,,,,,,,,,
empathy,Yudh ke peedit logon ke prati sahanubhuti rakhta hoon. empathyInAction StandWithTheAffected????????????????????,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, mujhe ummeed hai ki yeh yudh khatam hoga aur shaanti ayegi. hopeForPeace BelieveInTheFuture",,,,,,,,,,,,,,,,
fear,Yudh ne masoomon ki jaanen le li hai. Kyun? Darr ka mahaul hai. StopTheWar PrayForPeace,,,,,,,,,,,,,,,,
anger,"Yudh ka atyachaar bardaasht nahi hota. Ladenge, haar nahin maanenge! NeverSurrender AgainstInjustice",,,,,,,,,,,,,,,,
sadness,Yudh ke karan ghar-baar se beghar hue logon ka haal dekhkar bahut dukh hota hai. WarTfearsApart HumanityCries,,,,,,,,,,,,,,,,
anxiety,"Yudh kab khatam hoga, yeh chinta har samay satati rahti hai. AnxiousThoughts EndTheConflict",,,,,,,,,,,,,,,,
shame,Yudh mein hui hinsa aur atyachar ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
guilt,Yudh ke karan desh ke liye kuch nahi kar paane ka gunaah mujhe hamesha khaata hai. guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka koi ant nahi dikhai deta, yeh niraasha bhari hai. NoEndInSight hopeless???????????????",,,,,,,,,,,,,,,,
fear,Duniya bhar ke yudh se humare bachon ki shiksha aur unki bhavishya mein bada prashna uthta hai. Kaise khatam hoga yeh andhere ka kal?,,,,,,,,,,,,,,,,
fear,Yudh se pehle vidyarthiyon ko surakshit rakhna mushkil ho jata hai. Education ko protect karna hamara zimmedaari hai.,,,,,,,,,,,,,,,,
anger,"Yudh ke karan, naye scientific discoveries aur resfearch ka development rok jata hai. Isse humara future bhi affect hota hai.",,,,,,,,,,,,,,,,
anger,Yudh mein shiksha aur science ka sabse bada nuksan hota hai. Desh ko nuksan hota hai jab hamare scientists ko yeh zarurat hoti hai.,,,,,,,,,,,,,,,,
sadness,"Yudh ke karan, schools band ho jaate hain, aur bachon ka basic education ka haq cheen jata hai. Yeh dil ko bahut dukhaata hai.",,,,,,,,,,,,,,,,
sadness,Yudh se peedit logon ki seva mein nahi lagne ki wajah se humein ek majboor afsos hota hai.,,,,,,,,,,,,,,,,
anxiety,Yudh ka chakkar lagataar humare health systems ko affect karta hai. Emergency situations ko tackle karna aur bhi mushkil ho jata hai.,,,,,,,,,,,,,,,,
anxiety,"Yudh ki wajah se healthcare professionals ki mental health par bhi bohot bura asar padta hai. Hum inke saath hai, unka samarthan karte hain.",,,,,,,,,,,,,,,,
shame,"Yudh se environment ko bhi bohot nuksan hota hai. Jalvaayu parivartan aur pradooshan ka badhna, yeh sab iska hissa hai.",,,,,,,,,,,,,,,,
shame,Yudh ke chakkar mein environment ko preserve karne ki zarurat samajhna humara moral farz hai.,,,,,,,,,,,,,,,,
guilt,"Yudh ke wajah se bahut si zindagiyan khoyi jaati hain, isse humein guilt hoti hai ki hum kuch nahi kar paaye.",,,,,,,,,,,,,,,,
guilt,Yudh mein shaamil hokar humein lagta hai ki hum apne saathiyon ki madad nahi kar rahe hain.,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka ant nahi dikh raha, aur iske karan humein lagta hai ki humara future insecure hai.???????????????",,,,,,,,,,,,,,,,
hopelessness,"Yudh ke karan humein lagta hai ki koi bhi prayaas bekaar hai, kyun ki situation ka control hi nahi ho raha.??????????????????",,,,,,,,,,,,,,,,
frustration,"Yudh ke karan, scientific progress mein rukawat aati hai. Humare scientists aur resfearchers ko milne wala samarthan nahi mil pata.",,,,,,,,,,,,,,,,
frustration,Yudh se pehle ek behtar kal ki planning aur development ko rok deti hai. frustration ka izhaar karna banta hai.,,,,,,,,,,,,,,,,
disgust,"Yudh se logon ki zindagiyaan toot jaati hain, aur ismein kisi bhi level ka jazbaat dikhaana humara ghinna dilata ha: ????i.",,,,,,,,,,,,,,,,
disgust,"Yudh ke karan, humare hospitals aur healthcare facilities ka infrastructure bhi tabah ho jaata hai: ????.",,,,,,,,,,,,,,,,
grief,"Yudh se pehle aur uske dauran, humare logon ki jaan jaati hai. Yeh dukh bhara haq hai, jise hum kabhi nahi bhool sakte.",,,,,,,,,,,,,,,,
grief,Yudh mein apnon ko khona aur unka dukh dekhna humara dil behad dukhaata hai.,,,,,,,,,,,,,,,,
empathy,"Yudh se peedit logon ke prati hamara samvedana bhara hai. Unke saath hum khade hain, aur unki madad karte hain.????????????????????",,,,,,,,,,,,,,,,
empathy,"Yudh ke victims ke liye empathy dikhana, ek insaniyat ka farz hai.??????????",,,,,,,,,,,,,,,,
resilience,"Mushkil samay mein bhi, humein apni resilience aur determination dikhani chahiye. Yudh ka saamna karke hum aage badh sakte hain.????",,,,,,,,,,,,,,,,
resilience,"Yudh ke bavjood, humein khud ko strong aur resilient dikhana hoga, taaki humare desh mein hope bani rahe.????????",,,,,,,,,,,,,,,,
compassion,"Yudh ke victims ke liye compassion dikhana, humara moral responsibility hai.",,,,,,,,,,,,,,,,
compassion,Yudh se peedit logon ki madad karna humara insaani farz hai. Humara ek chhota sa yogdan unke liye bada farak la sakta hai.,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, humein ek doosre ke saath milke kaam karna hoga, taaki humara ek behtar aur peaceful future ho.",,,,,,,,,,,,,,,,
hope,Hummein yeh vishwaas hai ki hum apne efforts aur sahayata se yudh se mukti paayenge.,,,,,,,,,,,,,,,,
gratitude,Yudh se door rehne ka shukriya ada karna chahiye. Humein shaanti aur suraksha ka anand uthana chahiye.,,,,,,,,,,,,,,,,
gratitude,"Hamare paas shaanti aur suraksha ka bahut bada tohfa hai, aur humein iske liye hamesha krutagn rahna chahiye.",,,,,,,,,,,,,,,,
fear,Duniya bhar ke yudh se humare bachon ki shiksha aur unki bhavishya mein bada prashna uthta hai. Kaise khatam hoga yeh andhere ka kal?,,,,,,,,,,,,,,,,
fear,Yudh se pehle vidyarthiyon ko surakshit rakhna mushkil ho jata hai. Education ko protect karna hamara zimmedaari hai.,,,,,,,,,,,,,,,,
anger,"Yudh ke karan, naye scientific discoveries aur resfearch ka development rok jata hai. Isse humara future bhi affect hota hai.",,,,,,,,,,,,,,,,
anger,Yudh mein shiksha aur science ka sabse bada nuksan hota hai. Desh ko nuksan hota hai jab hamare scientists ko yeh zarurat hoti hai.,,,,,,,,,,,,,,,,
sadness,"Yudh ke karan, schools band ho jaate hain, aur bachon ka basic education ka haq cheen jata hai. Yeh dil ko bahut dukhaata hai.",,,,,,,,,,,,,,,,
sadness,Yudh se peedit logon ki seva mein nahi lagne ki wajah se humein ek majboor afsos hota hai.,,,,,,,,,,,,,,,,
anxiety,Yudh ka chakkar lagataar humare health systems ko affect karta hai. Emergency situations ko tackle karna aur bhi mushkil ho jata hai.,,,,,,,,,,,,,,,,
anxiety,"Yudh ki wajah se healthcare professionals ki mental health par bhi bohot bura asar padta hai. Hum inke saath hai, unka samarthan karte hain.",,,,,,,,,,,,,,,,
shame,"Yudh se environment ko bhi bohot nuksan hota hai. Jalvaayu parivartan aur pradooshan ka badhna, yeh sab iska hissa hai.",,,,,,,,,,,,,,,,
shame,Yudh ke chakkar mein environment ko preserve karne ki zarurat samajhna humara moral farz hai.,,,,,,,,,,,,,,,,
guilt,"Yudh ke wajah se bahut si zindagiyan khoyi jaati hain, isse humein guilt hoti hai ki hum kuch nahi kar paaye.",,,,,,,,,,,,,,,,
guilt,Yudh mein shaamil hokar humein lagta hai ki hum apne saathiyon ki madad nahi kar rahe hain.,,,,,,,,,,,,,,,,
hopelessness,"Yudh ka ant nahi dikh raha, aur iske karan humein lagta hai ki humara future insecure hai.???????????",,,,,,,,,,,,,,,,
hopelessness,"Yudh ke karan humein lagta hai ki koi bhi prayaas bekaar hai, kyun ki situation ka control hi nahi ho raha.???????????",,,,,,,,,,,,,,,,
frustration,"Yudh ke karan, scientific progress mein rukawat aati hai. Humare scientists aur resfearchers ko milne wala samarthan nahi mil pata.",,,,,,,,,,,,,,,,
frustration,Yudh se pehle ek behtar kal ki planning aur development ko rok deti hai. frustration ka izhaar karna banta hai.,,,,,,,,,,,,,,,,
disgust,": ????Yudh se logon ki zindagiyaan toot jaati hain, aur ismein kisi bhi level ka jazbaat dikhaana humara ghinna dilata hai.",,,,,,,,,,,,,,,,
disgust,"Yudh ke karan, humare hospitals aur healthcare facilities ka infrastructure bhi tabah ho jaata hai: ????.",,,,,,,,,,,,,,,,
grief,"Yudh se pehle aur uske dauran, humare logon ki jaan jaati hai. Yeh dukh bhara haq hai, jise hum kabhi nahi bhool sakte ??????????????????.",,,,,,,,,,,,,,,,
grief,Yudh mein apnon ko khona aur unka dukh dekhna humara dil behad dukhaata hai.,,,,,,,,,,,,,,,,
empathy,"Yudh se peedit logon ke prati hamara samvedana bhara hai. Unke saath hum khade hain, aur unki madad karte hain.????????????????",,,,,,,,,,,,,,,,
empathy,"Yudh ke victims ke liye empathy dikhana, ek insaniyat ka farz hai.????????????",,,,,,,,,,,,,,,,
resilience,"Mushkil samay mein bhi, humein apni resilience aur determination dikhani chahiye. Yudh ka saamna karke hum aage badh sakte hain.????????",,,,,,,,,,,,,,,,
resilience,"Yudh ke bavjood, humein khud ko strong aur resilient dikhana hoga, taaki humare desh mein hope bani rahe????????.",,,,,,,,,,,,,,,,
compassion,"Yudh ke victims ke liye compassion dikhana, humara moral responsibility hai.",,,,,,,,,,,,,,,,
compassion,Yudh se peedit logon ki madad karna humara insaani farz hai. Humara ek chhota sa yogdan unke liye bada farak la sakta hai.,,,,,,,,,,,,,,,,
hope,"Andhere mein bhi, humein ek doosre ke saath milke kaam karna hoga, taaki humara ek behtar aur peaceful future ho???????????????",,,,,,,,,,,,,,,,
